Longitude,Latitude,RSSI
-8.506727,51.891704,-73
-8.506727,51.891704,-68
-8.506727,51.891704,-68
-8.506727,51.891704,-74
-8.506727,51.891704,-82
-8.506727,51.891704,-82
-8.506727,51.891704,-86
-8.506727,51.891704,-89
-8.506727,51.891704,-87
-8.506727,51.891704,
-8.506727,51.891704,
-8.506727,51.891704,-88
-8.506727,51.891704,-86
-8.506727,51.891704,-84
-8.506727,51.891704,-87
-8.506727,51.891704,-87
-8.506727,51.891704,-87
-8.506727,51.891704,-93
-8.506727,51.891704,-93
-8.506727,51.891704,-93
-8.506727,51.891704,-93
-8.506727,51.891704,-93
-8.506727,51.891704,
-8.506727,51.891704,-91
-8.506727,51.891704,-85
-8.506727,51.891704,-87
-8.506727,51.891704,-91
-8.505897,51.89245,-94
-8.505897,51.89245,-94
-8.505897,51.89245,-91
-8.505897,51.89245,-91
-8.505897,51.89245,
-8.505897,51.89245,
-8.505897,51.89245,
-8.505897,51.89245,
-8.505897,51.89245,-87
-8.505897,51.89245,-90
-8.505897,51.89245,-90
-8.505897,51.89245,-92
-8.505897,51.89245,-94
-8.505897,51.89245,-94
